篇名,作者,页数,关键词,摘要,filename
城市大数据:内涵、服务架构与实施路径,"华岗1:40489371|顾德道1:40489051|刘良华1:40489148|田沄2,3,4:35020991|许海燕1:40489372|方丹丹1:40489054",8,城市大数据; 服务架构; 实施路径;,"在大数据时代,城市大数据成为转变城市发展模式、提升人民生活水平、培育经济增长新动力的关键,必须做好顶层设计、系统规划和推进措施。为此,深入剖析了城市大数据的概念与内涵、边界和数据分类以及当前我国城市大数据发展中面临的机遇和挑战,提出了由一体化基础支撑体系、应用体系、产业体系、指数体系和体制机制保障措施等构成的城市大数据服务架构体系,并给出了实施路径和大数据服务中心建设的建议。 ",DSJU201603003
智慧城市建设中政府大数据开放与市场化利用,洪学海1:11039177|范灵俊1:26300451|洪筱楠2:35020993|李国杰1:09559565,10,智慧城市; 政府大数据; 市场化; 开放;,"在智慧城市建设中,政府大数据是一笔宝贵的""资产"",是高价值密度的大数据源。利用好政府大数据对于促进城市经济发展和提升公共服务都大有裨益。企业是政府大数据与公众需求问题解决方案之间的桥梁。开放政府数据并通过企业进行市场化开发是政府大数据释放价值的有效途径。以宁波市智慧城市建设中的政府大数据应用为例,分析政府大数据市场化利用的障碍和挑战,并探讨了政府大数据市场化利用的模式与对策。 ",DSJU201603004
政府大数据治理的挑战及对策, ,12,政府大数据; 治理机制; 内部共享; 对外开放;,"大数据是城市智慧的""来源"",利用好大数据可以有效缓解或解决城市发展中的诸多问题。政府部门掌握的大数据关系国计民生,与公众生活息息相关,是高价值密度的数据,如何治理和利用政府大数据,是智慧城市建设的核心问题之一。以宁波市政府大数据为例,阐述了政府大数据治理面临的挑战,包括政府数据内部共享的需求和障碍、政府数据对外开放和利用的问题等,同时给出了相应的对策及建议。 ",DSJU201603005
利用大数据挖掘和知识发现技术辅助智慧城市发展,陈聪1:35018954|张国惠1:35018955|马晓磊2:33515566|王印海3:23048770,10,智慧城市; 城市化; 大数据; 大数据分析; 科技发展;,"互联网的广泛应用带来了信息时代的数据井喷,大数据成为当前时代的宝贵资源,而大数据分析也成为了新时代的重要课题。大数据分析可以提供更准确的分析结果,从而推动智慧城市系统的发展。总结了智慧城市和大数据的基本概念、发展历程和主要特点,提出了利用大数据挖掘技术辅助智慧城市的综合发展,旨在为当代智慧城市和大数据研究提供理论基础。 ",DSJU201603006
基于大数据的京沪人口流动流量、流向新变化,周晓津:25220642|姚阳:11712109,11,人口流动大数据; 国家人口基础信息库; 国家大数据战略;,"位置大数据为人口流动流量、流向及其变化研究提供了条件,大数据人口推断比人口普查更加精准且成本大幅度降低。基于大数据的人口流动分析表明,2015年末北京、上海外来人口规模稳中有降,外来人口来源构成与2010年全国第六次人口普查相比也发生了较大变化,来自于邻近省份的外来人口增加。在加快实施国家大数据战略的背景下,应加快共享公共数据,推进人口流动大数据研究,以尽快构建基于大数据的国家人口基础信息库。 ",DSJU201603007
基于微博数据对突发性环境污染事件公众感知变迁研究,张志恒:32700686|陈兴鹏:07903951|惠丹:34557278,13,突发环境污染事件; 公众感知; 内容分析法; 微博;,"发掘突发环境污染事件下公众感知变迁特征对于应急决策具有重要意义。以""2014年兰州市自来水污染""为例,尝试采用新浪微博的数据,使用内容分析法对公众感知变迁的计量特征、6个感知方向变迁特征进行分析。结果表明,反映公众感知的小文本集遵循齐夫定律;公众感知依次经历发散、平稳、收敛、""公众反思""4个阶段;感知方向的变迁特征分为阶段弱敏感性与强敏感性两类。基于公众感知阶段划分及公众感知方向变迁特征提出应对突发性环境污染事件的建议。 ",DSJU201603008
基于HBase的海量GIS数据分布式处理实践, ,10,大数据; HBase; 栅格数据; 矢量数据; rowkey;,"设计了一种基于分布式数据库HBase的GIS数据管理系统。系统优化了栅格数据的生成和存储过程,将海量栅格数据直接写入HBase存储、索引。同时,针对矢量空间数据的存储、索引与检索,提出了一种新的rowkey设计,既考虑经纬度,又考虑空间数据类型和属性,使得在按空间位置检索矢量地理信息时,能通过HBase的rowkey迅速定位需要返回的数据。在HBase的集群环境上用真实GIS数据对上述方法进行了验证,结果表明,提出的系统具有较高的海量数据存储和检索性能,实现了海量地理信息数据的高效存储和实时高速检索。 ",DSJU201603009
大数据治理的数据模式与安全,马朝辉1:35018660|聂瑞华1:07572245|谭昊翔1:35018661|林嘉洺1:35018662|王欣明1:32797938|唐华2:07572364|杨晋吉1:07570942|赵淦森1:26445736,13,大数据治理; 数据融合; 访问控制;,"大数据治理的主要目的是使数据的利用价值和利用效率最大化,治理后的数据在利用过程中也不可避免会涉及敏感数据或者隐私数据。从大数据治理出发,基于实际应用案例,讨论大数据治理过程中如何利用数据模式的重组实现数据价值的提升和数据处理效率的提升。同时,也提出了数据安全访问策略的自动生成,保障数据在重组后得到相应的安全防护。 ",DSJU201603010
电信大数据关键技术挑战, ,10,电信大数据; 用户洞察; 网络洞察; 数据开放;,"大数据逐渐对用户体验和生产效率带来颠覆性影响。电信大数据来源于运营商通信网络平台的BSS和OSS,沉淀了海量用户7个维度的信息:1维用户真实ID、1维行为数据、1维社交数据、1维时间数据和3维空间数据。运营商构建电信大数据分析平台,通过对7维用户数据建模,可以实现3个数据业务方向的升级:用户洞察、网络洞察和数据开放。着重探讨电信大数据分析平台遇到的9个关键技术挑战和可能的技术突破方向。 ",DSJU201603011
大数据时代的数据科学家培养,"朱扬勇1,2:06710346|熊贇1,2:24529592",7,数据科学; 数据科学家; 人才培养; 大数据;,"大数据时代,最热门的职业是数据科学家(data scientist),而不是传统的信息科学家,也不是大数据工程师。大数据热潮促进了数据科学(data science)研究进入快速发展期,数据科学家的培养也受到广泛重视,越来越多的大学启动数据科学学位培养计划,但值得注意的是,当前数据科学家培养的基础条件缺乏,其知识结构、学科体系、人才培养计划尚未建立。结合大数据时代的人才要求,给出了科学、系统的数据科学人才知识体系,提出了超学科、多类型的培养模式。 ",DSJU201603012
中国电信大数据应用实践,张宇中:35020994|李名洋:35020995,8, ,"<正>1引言大数据的应用随着计算技术的进步、互联网的爆发、科学计算的需求而高速发展。各类互联网巨头公司积累了大量运营、用户和交易数据,并筹建了大量的运算资源。它们的各类商业目的推动了大数据处理技术的发展。对中国电信运营商而言,三网总的活跃移动连接超过10亿,其中超六成终端为智能终端,每天各类应用和业务被使用,持续 ",DSJU201603013
大数据隐私保护技术综述,"方滨兴1,2:21958793|贾焰2:09789600|李爱平2:20650444|江荣2:24357692",18,大数据; 隐私保护; 数据发布; 数据挖掘; 数据访问;,"大数据分析带来的隐私泄露问题日趋严重,如何在利用大数据为各行各业服务的同时,保护隐私数据和防止敏感信息泄露成为新的挑战。大数据具有规模大、来源多、动态更新等特点,传统的隐私保护技术大都已不再适用。为此,给出了大数据时代的隐私概念和生命周期保护模型;从大数据生命周期的发布、存储、分析和使用4个阶段出发,对大数据隐私保护中的技术现状进行了分类阐述,并对各技术的优缺点、适用范围等进行分析;对大数据隐私保护技术发展的方向和趋势进行了阐述。 ",DSJU201601001
导读,,1, ,"<正>2015年是国家大数据战略的启动年。中国是农业大国,农业部于12月31日率先发布第一个行业大数据发展规划《关于推进农业农村大数据发展的实施意见》,全面部署农业农村大数据发展工作。相比互联网金融、互联网营销、精准健康、智慧城市、P2P、O2O等大数据热点,农业大数据研究与应用的基础相对薄弱、市场效应不强、实施难度更大。大数据如何在三农问题中发挥作用?大数据可以服务中央制定三农政策和发展规 ",DSJU201601002
农业信息化与大数据,王小兵:33548970,7,农业; 信息化; 大数据; 互联网+;,"大数据作为""互联网+""行动计划的主要内容,其重要性得到了广泛重视。农业是大数据的重要应用领域,大数据技术为农业信息监测预警工作带来了新的发展机遇。介绍了我国传统农业发展面临的问题,阐述了互联网+农业对于农业转方式、调结构的重要作用,详细分析了发展互联网+农业物联网、互联网+农业电子商务、互联网+农业信息服务、互联网+农业大数据的重要意义和具体措施,为全面提高农业综合生产能力,降低农业资源消耗,构建基于互联网和大数据技术的现代农业提供参考。 ",DSJU201601003
关于我国农业大数据中心建设的设想,"王文生1,2:09677610|郭雷风1,2:28878107",7,农业大数据; 大数据中心; 战略需求; 应用前景;,"农业大数据中心是发展农业大数据的前提和基础,我国应积极推动农业大数据中心建设。为此,从我国现代农业发展的角度,分析了国家农业大数据中心建设的战略需求,介绍了建设农业大数据中心的数据基础,提出了农业大数据中心建设的主要内容,对农业大数据中心的应用前景进行了展望,为我国农业大数据的发展提供了参考和依据。 ",DSJU201601004
农业大数据资产管理面临的挑战与思考,李俊清:34277597|宋长青:08239839|周虎:31885430,9,农业大数据; 资产管理; 农业农村;,"农业大数据资产管理是发展农业农村大数据的前提,结合农业领域和大数据领域的热门议题,对农业大数据资产管理进行了相关研究。对农业大数据资产的概念进行了定义,从数据资源和服务价值角度分析了农业大数据资产的特性;分析了农业大数据资产的现状,并从存储、质量、价值、安全、开放和人才培养等方面探讨了农业大数据资产管理面临的挑战;最后,对农业大数据资产管理提出了思考和建议。 ",DSJU201601005
山东省农业大数据发展刍议,郑勇:34277598|孟磊:34277599|李文静:34277600,9,农业大数据; 资源共享; 信息化; 互联网+;,"国务院办公厅印发的《促进大数据发展行动纲要》,将大数据发展工作提到战略高度,重点是发展大数据农业农村等行业领域应用。农业发展到当前阶段,面临诸多现实困境,亟需通过大数据技术与应用,促进农业转型升级。通过对山东省农业大数据发展状况的分析,针对存在的问题,提出发展山东省农业大数据的主要任务和保障措施,为相关政策制定提供参考。 ",DSJU201601006
农业大数据研究生培养模式探索,牟少敏:08292243|温孚江:14688271|宋长青:08239839,6,农业大数据; 机器学习; 大数据处理技术; 研究生培养模式;,"大数据应用尚处于初级阶段,农业大数据又是多学科的交叉融合产物,相应人才的缺乏是其研究和应用的重要瓶颈。简要介绍了农业大数据的概念、处理技术及其应用。并结合农业大数据的特点,针对目前人才严重缺乏的现状,提出了农业大数据研究生培养的重要性,并在此基础上,探讨了培养方案的要素以及人才培养模式。 ",DSJU201601007
基于大数据的小麦蚜虫发生程度决策树预测分类模型,张晴晴:34080122|刘勇:14979938|牟少敏:08292243|温孚江:14688271,9,小麦蚜虫; 农业大数据; 决策树; 分类模型;,"小麦蚜虫是危害小麦的主要害虫。其发生程度预测特别是短期预测一直是植物保护领域难以解决的科学问题。传统预测方法通常仅采用温湿度,预测结果与实际发生匹配度不高。基于大数据的理念和数据挖掘技术,通过对2003-2013年小麦蚜虫发生程度与瓢虫、寄生蜂、日最高气压、日照时数等18种变量关系的决策树分析,构建了分类模型。经分析发现,日照时数与小麦蚜虫的发生程度关联度最高,其次是天敌瓢虫。该模型置信度为91.49%,且运行稳健。 ",DSJU201601008
基于大数据的玉米田四代棉铃虫发生量的预测模型,赵雷:34277601|杨波:32380664|刘勇:14979938|牟少敏:08292243|温孚江:14688271,8,农业大数据; 棉铃虫; 支持向量回归; 监测预警; 玉米;,"提出了一种基于支持向量机的预测模型。根据山东省1999-2013年玉米田第四代棉铃虫发生程度采集的数据,采用支持向量回归(SVR)算法,构建了玉米田第四代棉铃虫发生程度与其关联因子间的非线性关系模型,并对该方法进行了测试与分析。结果表明,由SVR预测模型得到的预测发生量与实际发生量基本一致,预测的平均绝对百分比误差为4.36%,预测值与实际值的相关系数为0.960 6,为玉米田第四代棉铃虫的有效防控提供了科学指导。 ",DSJU201601009
农业大数据给商品交易所带来的机遇和挑战,,10,农业大数据; 期货市场; 业务流程; 促进作用;,"研究了农业大数据对郑州商品交易所主要业务的促进作用。通过对农业大数据在交易所各个主要业务流程中扮演的重要角色的分析,表明基于农业大数据和期货大数据的数据挖掘可以提高交易所在交易、交割、结算、风控以及新产品研发等业务上的科学性、精准性、针对性。 ",DSJU201601010
大数据环境下的管理信息系统发展研究,"杨丽彬1:28840291|李海林1,2:28840290|张飞波1:34277602",13,大数据; 管理信息系统; 数据挖掘; 信息处理;,"大数据时代的到来给管理信息系统带来了一定的冲击和挑战,因此有必要研究大数据对现代管理信息系统的作用及影响,使得管理信息系统的性能和社会服务作用得到进一步提升。首先从数据的内涵与特征来理解大数据的概念,接着从数据处理过程的角度来讲述大数据对管理信息系统业务流程的变化和影响,同时,从管理信息系统的构成来解析大数据对于管理信息系统的推动与发展作用。最后,针对基于大数据环境下的信息安全和信息人才短缺等问题进行了探讨,并提出了相关的解决方案。 ",DSJU201601011
生活中的大数据,车品觉:32708759,6,大数据; 气象; 销售; 医疗; 信用; 数据分析; 数据产业;,"随着大数据时代的来临,大数据逐渐渗入人们的日常生活中。选取了几个方向,对已渗入人们生活的典型大数据应用进行了分析和阐述,希望能给予读者启示。 ",DSJU201601012
CCF大专委2016年大数据发展趋势预测——解读和行动建议,"潘柱廷1,2,3,4:12159789|程学旗5,6,7:09559496|袁晓如8,9:21688785|周涛10:10517313|靳小龙5,11:26681578",9, ,"<正>1引言2015中国大数据技术大会(BDTC)于2015年12月10日在北京召开,会上中国计算机学会(CCF)大数据专家委员会(task force on big data,TFBD,以下简称大专委)发布了中国大数据技术与产业发展报告(2015),并对2016年大数据发展趋势进行了展望。自2012年10月CCF大专委成立,在每年12月的大数据技术大会上都会发布对第二年大数据发展趋势的预测。从预测2013年到预测2016年,现在已经是第4次 ",DSJU201601013
从政策驱动到技术践行:大数据开辟可持续发展研究新途径,"周绮凤1:09225559|李涛2,3:08770190",6, ,"<正>1可持续发展及面临的难题可持续发展是世界对发展道路的审慎选择,也是我国的基本发展战略。随着全球资源枯竭、环境恶化的日益严重以及人类文明的演进和对生态保护理念的不断深化,可持续发展已经成为全球共识,对这一领域的研究也越来越热,日渐深入。实现可持续发展的关键是如何制定合理的、能够平衡环境、经济和社会需求的复杂决策。然而自然、社会、经济系统本身的高度复杂性、动态性以及不确定性使得实现这一最优或近似最优的决策成为一个巨大的挑战。目前,可持续发展战略的实施 ",DSJU201601014
2015中国大数据技术大会在北京隆重开幕,,1, ,"<正>2015年12月10日,作为大数据领域规模最大、最具影响力的IT盛会,2015中国大数据技术大会(BDTC 2015)在北京新云南皇冠假日酒店盛大开幕。中国计算机学会(CCF)大数据专家委员会秘书长、中国科学院计算技术研究所研究员程学旗代表主办方和承办方致开幕辞。本次大会历时三天,以更加国际化的视野,从政策法规、技术实践和产业应用等角度深入探讨大数据落地后的挑战,作为大数据产业 ",DSJU201601015
大数据,,1, ,"<正>ISSN 2096-0271 CN 10-1321/G2主管单位:中华人民共和国工业和信息化部主办单位:人民邮电出版社学术指导:中国计算机学会大数据专家委员会出版单位:北京信通传媒有限责任公司办刊宗旨""以开放、创新姿态,推动大数据技术的研究与应用,促进技术交流,推广创新成果,服务大数据社会""。报道大数据技术应用领域中具有前瞻性、独立性和创新性的产业与技术发展见解;产业的新研究应用成果与发展动态;关键技术、热点的前沿性研究与应用;具有先进性和推广价值的应用方案等,有效促进 ",DSJU201601016
导读,,1, ,"<正>大数据已经成为促进社会进步、经济发展与科技创新的关键基础资源。大规模的数据价值利用需要兼顾数据开放共享与安全隐私保护。同时,大数据开源技术体系、""互联网+""与大数据领域应用生态链、大数据金融、大数据安全等既是大数据研究的共性基础问题,也是数据产业发展的热点领域。具体而言,金融行业的大数据化管理与大数据的金融化创新是大数据产业的重要趋势,基于大数据的征信、风控、信贷、投资等已经在金融领域产生了实际的应用效果。在安全领域,大数据的发展有效缓解了 ",DSJU201504004
面向大数据的并行聚类算法在股票板块划分中的应用,海沫1:24156185|牛怡晗2:34104905|张悦今1:26051481,9,财务指标; 并行聚类算法; K-means; 模糊K-means; 股票板块划分;,"上市公司的经营业绩在一定程度上反映股票的投资价值,因此以反映上市公司盈利能力、偿债能力、成长能力、资产管理质量及股东获利能力5个方面共15项财务指标作为股票投资价值的衡量指标,首次尝试使用面向大数据的并行聚类算法Mahout中的K-means聚类算法和模糊K-means聚类算法对中国A股市场约2 600支股票依据其财务指标进行聚类,以便进行股票板块的划分,并比较两种算法在不同距离度量方式下的迭代次数、执行时间、聚类间密度和聚类内密度。实验结果表明,谷本距离度量方式下的K-means算法聚类效果最好,因此可将该实验结果作为最终股票板块划分结果进行分析,从而为投资决策提供参考。 ",DSJU201504005
基于大数据技术的P2P网贷平台风险预警模型, ,11,互联网金融; P2P网贷; 大数据; 风险预警; 机器学习;,"近几年,我国P2P网贷行业在高速发展的过程中出现了大量的""失联跑路""事件。为此,基于P2P网贷及大数据相关概念的深入剖析,创新性地将平台的风险预警与大数据技术结合,通过对海量数据采集、Spark分布式平台计算、机器学习建模等大数据技术的整合,构建一个有效的P2P网贷平台风险预警模型。该模型在多维度风险评价指标的基础之上,可以实现对网贷平台风险的实时、精准、全面监测,从而有效降低平台集资诈骗、恶意跑路等恶意事件的发生频率,维护广大投资人的资金安全及社会稳定。 ",DSJU201504006
面向国防安全的网络大数据分析与应用系统,许洪波:10348532|陈波:34104907,9,大数据; 国防安全; 大数据分析; 多源异构数据融合;,"在调研国内外大数据分析与应用研究现状的基础上,针对国防安全领域现有业务体系中存在的数据碎片化、不规范、难共享等突出问题,提出面向国防安全的网络大数据分析与应用方案,将国防安全现实需求与大数据技术有机结合,既能够发挥大数据技术在多源异构数据融合、深层次安全信息挖掘、打破信息孤岛实现广泛共享等方面的优势,又能够适应现有的业务体系,快速产生实际效果。最后,对面向国防安全的网络大数据挖掘和分析相关技术进行了系统性介绍。 ",DSJU201504007
基于统计学习的网络异常行为检测技术,周涛:10517313,10,大数据; 安全分析; 异常行为检测; 统计学习;,"高级持续性威胁(APT)已经成为企业级安全用户的首要安全威胁。传统基于特征检测、边界防护的安全防范措施在应对APT攻击时存在不足。为此,介绍了网络异常行为检测方法的现状;分析了基于统计学习的检测方法的技术路线和体系架构,并以命令控制通道、获取行为等APT攻击中的典型环节为例,介绍了相关的参数提取和统计分析建模方法;总结了基于大数据的异常行为检测的特点,并指出了后续研究方向。 ",DSJU201504008
面向科技情报的互联网信息源自动发现技术,高辉:33872572|陈钧:13573082|牛海波:34104908|罗威:34104909,9,科技情报; 互联网信息源; Twitter; 共引; 社会网络分析;,"自动获取高质量互联网信息源是科技情报工作的一项基础性研究内容。以网站/网页类信息源和Twitter信息源为研究对象,基于共引关系以及关注关系和文本内容,分别提出了两类信息源的自动发现方法,并面向科技情报领域进行了实验。对信息源自动发现技术应用形式进行了研究,分析了科技情报工作对信息源服务的具体要求,提出了3类应用场景。 ",DSJU201504009
大数据时代的数据挖掘——从应用的角度看大数据挖掘,"李涛1,2:08770190|曾春秋1,2:34104912|周武柏1,2:34104913|周绮凤3:09225559|郑理1,2:33805897",24,大数据; 数据挖掘; FIU-Miner; 高端制造业; 空间数据挖掘; 商务智能;,"介绍了大数据时代数据挖掘的特点、任务及难点,分析了大数据挖掘的核心架构,提出大数据的核心和本质,即应用、算法、数据和平台4个要素的有机结合。在此基础上介绍了本团队研究设计的大数据挖掘系统FIU-Miner。该系统是一个用户友好并支持在分布式环境中进行高效率计算和算法快速集成的数据挖掘系统平台,使得数据分析人员能够快速有效地进行各类数据挖掘任务。最后,介绍了基于FIU-Miner的3个典型的成功应用案例:高端制造业数据挖掘、空间数据挖掘和商务智能数据挖掘。 ",DSJU201504010
城市交通大数据技术及智能应用系统,"熊刚1,2:24576483|董西松1,2,3:26375625|朱凤华1,2:23309595|季统凯2:40548942",16,城市交通; 大数据; 云计算; 物联网;,"城市交通大数据具有种类繁多、异质性、时空尺度跨越大、动态多变、高度随机性、局部性和生命周期较短等特征,如何有效地采集和利用交通大数据,满足高时效性的交通行政监管、交通企业经营管理、交通市民服务等应用需求,是城市交通和智慧城市面临的前所未有的机遇和挑战。重点分析总结了城市交通大数据的若干研究内容及核心技术,提出了城市交通大数据智能应用系统解决方案,列举了几种典型应用,在城市交通和智慧城市领域的大数据研发和应用领域进行了初步探讨。 ",DSJU201504011
基于电力运营大数据分析实现节能减排,,12,出力系数; 优化电力调度; 优化机组设计; 节能减排;,"研究解决全国火电机组出力系数普遍较低,旋转备用率偏大的问题。通过对近年来安徽电网发电、用电负荷特性数据以及2014年全国大机组竞赛的大量数据进行挖掘和分析,提出了解决问题的几个方案:一是优化电力调度,减少机组在网运行时间;二是增加机组利用小时;三是优化机组设计,降低主辅设备出力富裕度,按IEC标准定义湿冷机组的铭牌;四是发电集团内部机组电量分配优化;五是国家能源局修订电量偏差不大于2%的监管政策。据此可大幅提高火电机组的出力系数,降低旋转备用率和发电煤耗,减少主要污染物排放量,实现企业经济效益和社会效益双丰收。 ",DSJU201504012
大数据技术发展的十个前沿方向(下),吴甘沙:27041215,9, ,"<正>10前沿方向八:精益求精,提升精度精度是衡量机器学习(人工智能)算法好坏的重要指标。传统上,精度概念包括正确率、识别率、召回率等。在大数据时代,精度被赋予了更多的含义。10.1传统机器学习的模型不适应大数据首先是数据规模。传统的机器学习模型无法支持超大规模的训练数据集,当数据超过一定规模时,传统模型将面临计算 ",DSJU201504013
大数据引领教育未来:从成绩预测谈起,"吕红胤1:06541747|连德富1,2:34107020|聂敏2,3:34107021|夏虎1,2:22107781|周涛1:06549836",4, ,"<正>近年来,大数据已经在教育领域的管理与引导等诸多方面被广泛运用。例如,智能教学系统(ITS)~[1]基于与学生间交互的日志数据进行个性化知识诊断,分析学生的知识掌握情况,发现学生的薄弱点,从而自适应地帮扶学生更好地获取知识和技能~[2,3]。卡耐基公司(Carnegie Learning)的""认知导引""系统便是一个典型的ITS~[4],它根据学生对先前问题的回答情况制定后续的提问内容。这样,就可以找出学生的问题并深入了解它们。经过严格测试,发现使用该系统的学生要比接受传统教学的 ",DSJU201504014
收录声明,,1, ,"<正>凡投本刊并被录用的稿件文章,若无特别声明,视同将录用文章的电子网络版、汇编或合订本的使用权授予本期刊社,本刊支付的稿费中已包含上述费用。If the authors of the accepted article by Big Data Research do not provide special announcement,the editorial department believes that the authors will be granted the right of their ",DSJU201504001
道德声明,,1, ,"<正>本刊发表的论文是作者独立取得的原创性研究成果,无一稿多投;论文内容不涉及国家机密;未曾以任何形式用任何文种在国内外公开发表过;论文内容不侵犯他人著作权和其他权利。若发生一稿多投、侵权、泄密等问题,论文作者将承担全部责任。The authors of Big Data Research guarantee that their submitted article is original and contains nothing confidential.The said article is only submitted to Big Data Research.The said article has not ",DSJU201504002
专题:金融与安全大数据,,1, ,"<正>客座编辑程学旗,中国科学院计算技术研究所研究员、所长助理、副总工程师,中国科学院网络数据科学与技术重点实验室主任,中国计算机学会大数据专家委员会秘书长,国家杰出青年科学基金获得者。主要研究方向为Web信息检索与数据挖掘。近年来,带领团队从事大规模互联网信息检索与挖掘、网络数据科学与社会计算以及面向网络空间的信息内容安全等方向的研究,先后主持并完成了十余项国家自然科学基金、国家重点基础研究发展计划(""973""计划)、国家高技术研究发展计划(""863""计划)、国家信息安全重大专项以及中国 ",DSJU201504003
“大数据与社会治理”专刊征稿通知,,1, ,"<正>创新社会治理体制已成为推进国家治理体系和治理能力现代化的重要内容。互联网、云计算、大数据时代的来临,为推进国家治理体系和治理能力的现代化带来空前的重大变革与发展机遇。本专刊以""大数据与数据治理""为选题,将突出目前大数据理论、方法和技术在社会治理领域应用研究中的热点课题,如基础理论、支撑技术和应用示范等,发表国内外大数据技术在社会治理研究领域中具有典型性和创新性的高水平研究成果,深入探讨其理论方法与技术实践。一、征稿范围 ",DSJU201504015
电信科学,,1, ,"<正>www.telecomsci.com.cn中国通信学会和人民邮电出版社携手打造中文核心期刊中国科技核心期刊RCCSE中国核心学术期刊被国内外核心数据库和科技文摘期刊收录《电信科学》期刊人选2014年度中国科协主管科技期刊审读""优""级期刊名单邮局订阅凭邮发代号,在全国各地邮局(所)订阅发行部订阅将订阅信息以传真或邮件方式发送至发行部,也可致电发行部提交订阅信息电话:010-81055598传真:010-81055464E-mail:yrq@bjxintong.com.cn银行汇款户名:北京信通传媒有限责任公司开户行:中国工商银行北京体育馆路支行账号:0200008109200044661 ",DSJU201504016
大数据,,1, ,"<正>主管单位:中华人民共和国工业和信息化部主办单位:人民邮电出版社学术指导:中国计算机学会大数据专家委员会出版单位:北京信通传媒有限责任公司办刊宗旨""以开放、创新姿态,推动大数据技术的研究与应用,促进技术交流,推广创新成果,服务大数据社会""报道大数据技术应用领域中具有前瞻性、独立性和创新性的产业与技术发展见解;产业的新研究应用成果与发展动态;关键技术、热点的前沿性研究与应用;具有先进性和推广价值的应用方案等,有效促进我国大数据技术研究与应用的交流,全方位展示我国大数据产业的发展、技术趋势和创新应用成果,推动 ",DSJU201504017
网络表示学习,陈维政:33805143|张岩:06278092|李晓明:06245325,16,网络; 表示学习; 深度学习;,"以Facebook、Twitter、微信和微博为代表的大型在线社会网络不断发展,产生了海量体现网络结构的数据。采用机器学习技术对网络数据进行分析的一个重要问题是如何对数据进行表示。首先介绍了网络表示学习的研究背景和相关定义。然后按照算法类别,介绍了当前5类主要的网络表示学习算法,特别地,对基于深度学习的网络表示学习技术进行了详细的介绍。之后讨论了网络表示学习的评测方法和应用场景。最后,探讨了网络表示学习的研究前景。 ",DSJU201503001
大数据与推荐系统,李翠平:10914774|蓝梦微:32635338|邹本友:32205560|王绍卿:32205561|赵衎衎:32635339,13,大数据; 推荐系统; 协同过滤;,"随着大数据时代的来临,网络中的信息量呈现指数式增长,随之带来了信息过载问题。推荐系统是解决信息过载最有效的方式之一,大数据推荐系统已经逐渐成为信息领域的研究热点。介绍了推荐系统的产生及其在大数据时代的发展现状、推荐系统的领域需求和系统架构、大数据环境下推荐系统的挑战及其关键技术、开源的大数据推荐软件、大数据推荐系统研究面临的问题,最后探讨了大数据推荐系统的未来发展趋势。 ",DSJU201503002
大数据时代的互联网分析引擎,窦志成:33807339|文继荣:09750702,12,互联网大数据; 分析引擎; 数据感知与采集;,"随着互联网尤其是移动互联网的高速发展,互联网文档的数量、内容的丰富度和复杂度都大大增加,互联网正朝大数据时代迈进,而用户的信息需求也趋于复杂化。除了基本的信息检索需求外,对大量相关文档的深入理解与聚合分析的需求也越来越强烈,而传统的互联网搜索引擎已经无法满足人们对该类信息的需求。针对这一问题,提出""互联网分析引擎""的构想,阐述了其与搜索引擎和OLAP分析系统的区别,介绍了一种互联网分析引擎的架构,并详细讨论了实现该引擎的核心问题。 ",DSJU201503003
从系统角度审视大图计算,吴城文:33805144|张广艳:08835476|郑纬民:05965723,14,大数据计算; 大图计算; 计算模型; 计算系统;,"大图计算已经成为学术界和工业界的一种基本计算模式,并且已经被应用到许多实际的大数据计算问题上,如社交网络分析、网页搜索以及商品推荐等。对于这些问题,大图的规模约有10亿级的点以及1 000亿级的边,这样的规模给大图的高效处理带来了诸多挑战。为此,介绍了大图计算的基本特征和挑战、典型的计算模型以及具有代表性的分布式、单机处理系统,同时对图处理系统中的关键技术进行总结,最后从系统的角度给出大图计算可能的一些研究方向。 ",DSJU201503004
网络大数据的文本内容分析,程学旗:09559496|兰艳艳:30526869,10,文本内容分析; 短文本主题建模; 单词表达; 排序学习;,"文本内容分析是实现大数据的理解与价值发现的有效手段。尝试从短文本主题建模、单词表达学习和网页排序学习3个子方向,探讨网络大数据文本内容分析的挑战和研究成果,最后指出未来大数据文本内容分析的一些研究方向和问题。 ",DSJU201503005
基于特征学习的文本大数据内容理解及其发展趋势,袁书寒:30628370|向阳:08967158|鄂世嘉:33805145,10,文本大数据; 特征学习; 内容理解;,"大数据中蕴含着重要的价值信息,文本大数据作为大数据的重要组成部分,是人类知识的主要载体。特征作为数据内在规律的反映,将文本大数据映射到反映数据本质的特征空间是文本大数据语义理解的重要手段。介绍了文本大数据的特征表示、特征学习,进而梳理了特征学习在文本大数据内容理解中的进展,最后阐述了基于特征学习的文本大数据内容理解未来的发展趋势。 ",DSJU201503006
